SCENE_ID,START_TIME,END_TIME,DURATION,NARRATION,VISUAL_TYPE,VISUAL_DESCRIPTION,CAMERA,LENS_PERSPECTIVE,MOVEMENT,LIGHTING,COMPOSITION,ON_SCREEN_TEXT,SOURCE,ASSET_STATUS,TRANSITION,SOUND,PURPOSE,AS_BUILT_SHOTS,AS_BUILT_SOUND,CAMERA_METADATA_STATUS,VISUAL_ARGUMENT_LINK
S021,00:02:35.100,00:02:40.033,4.933333,"tiến bộ kỹ thuật được xem như lực định hình xã hội, buộc xã hội thích nghi.",V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Khóa đúng tọa độ của instrumentalism. Asset: V9_008.mp4.,Isometric quadrant,50 mm,Slow push into quadrant,Warm neutral,"Ô trên phải 60%, ba ô còn lại dim",THUYẾT CÔNG CỤ | TRUNG TÍNH · CÓ THỂ KIỂM SOÁT,assets/flow_v9_raw/V9_008.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Single mallet tone,Khóa đúng tọa độ của instrumentalism.,V11 plan: assets/flow_v9_raw/V9_008.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Khóa đúng tọa độ của instrumentalism.
S022,00:02:40.033,00:02:50.700,10.666667,"“Mang giá trị” kết hợp với “tự trị” là thuyết thực chất. Lập trường này cho rằng lựa chọn công nghệ đồng thời kéo theo một kiểu sống, nhưng con người khó kiểm soát quỹ đạo ấy.",V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Thể hiện logic một chiều mà không khẳng định nó là sự thật. Asset: MG08_matrix_substantivism.mp4.,Isometric quadrant,35 mm,Track cùng conveyor,Cool steel with controlled highlight,Đường ray chéo từ trái trên vào giữa,THUYẾT TẤT ĐỊNH CÔNG NGHỆ | TRUNG TÍNH · TỰ TRỊ,assets/v11_graphics/MG08_matrix_substantivism.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Low motor, metronome",Thể hiện logic một chiều mà không khẳng định nó là sự thật.,V11 plan: assets/v11_graphics/MG08_matrix_substantivism.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Thể hiện logic một chiều mà không khẳng định nó là sự thật.
S023,00:02:50.700,00:03:07.033,16.333333,"Giao điểm cuối là lý thuyết phê phán công nghệ, nơi Feenberg đặt lập trường của mình: công nghệ mang giá trị nhưng vẫn có thể được con người định hướng. Feenberg không xem công nghệ hoàn toàn trung tính, cũng không xem nó là định mệnh bất khả cải biến.",V11 · ẢNH NGƯỜI THẬT ĐÃ XÁC MINH + ĐỒ HỌA GIẢI THÍCH + FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Cho thấy công nghệ như lối sống chứ không chỉ dụng cụ. Asset: andrew_feenberg_card.png, MG09_matrix_critical_theory.mp4, S050_flow_1080p.mp4, mixkit_4169_1080.mp4.",Isometric-to-eye-level,35 mm,Slow advance bị corridor dẫn,"Deep navy, practical amber xa",Nhân vật nhỏ trong khung kiến trúc lớn,THUYẾT THỰC CHẤT | MANG GIÁ TRỊ · TỰ TRỊ,assets/v11_sources/andrew_feenberg_card.png | assets/v11_graphics/MG09_matrix_critical_theory.mp4 | assets/flow_selected/S050_flow_1080p.mp4 | assets/v11_real/mixkit/mixkit_4169_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Room tone đóng dần, bass thấp",Cho thấy công nghệ như lối sống chứ không chỉ dụng cụ.,V11 plan: assets/v11_sources/andrew_feenberg_card.png | assets/v11_graphics/MG09_matrix_critical_theory.mp4 | assets/flow_selected/S050_flow_1080p.mp4 | assets/v11_real/mixkit/mixkit_4169_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Cho thấy công nghệ như lối sống chứ không chỉ dụng cụ.
S024,00:03:07.033,00:03:09.600,2.566667,Đây là điểm phải giữ thật chính xác.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Định vị chính xác lập trường Feenberg. Asset: MG09_matrix_critical_theory.mp4.,Isometric quadrant,50 mm,Arc 20 độ,Amber + participatory teal,"Hands ở mép, hộp ở tâm; anatomy phải chính xác",LÝ THUYẾT PHÊ PHÁN CÔNG NGHỆ | MANG GIÁ TRỊ · CÓ THỂ KIỂM SOÁT,assets/v11_graphics/MG09_matrix_critical_theory.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Theme mở hợp âm; mechanical click,Định vị chính xác lập trường Feenberg.,V11 plan: assets/v11_graphics/MG09_matrix_critical_theory.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Định vị chính xác lập trường Feenberg.
S025,00:03:09.600,00:03:15.667,6.066667,"Nếu chỉ nói “công nghệ có mặt tốt và mặt xấu”, ta vẫn đang bàn về hậu quả sử dụng.",V11 · TÀI LIỆU NGUỒN,Chuỗi hình V11 khớp trực tiếp luận điểm: Neo lập trường vào văn bản gốc. Asset: S025_source_card.png.,Document close-up,Flat scan,Slow push 3%,"Warm paper, highlight amber/teal","Hai đoạn nguồn rõ, citation không che chữ","VALUE-LADEN + CONTROLLABLE | Andrew Feenberg, What Is Philosophy of Technology?, PDF tr. 9",assets/v11_source_cards_r6/S025_source_card.png,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Pencil texture; music duck,Neo lập trường vào văn bản gốc.,V11 plan: assets/v11_source_cards_r6/S025_source_card.png,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Neo lập trường vào văn bản gốc.
S026,00:03:15.667,00:03:23.200,7.533333,"Lý thuyết phê phán đi sâu hơn: ngay cấu trúc kỹ thuật đã phân bố cơ hội, rủi ro và quyền hành động theo những cách khác nhau.",V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Biến nghịch lý thành động lực của toàn phim. Asset: V9_015.mp4.,Hero medium,50 mm,Slow orbit,High contrast controlled,"Hộp giữa, hai lực cân bằng; lối vào ở foreground",MANG GIÁ TRỊ × CÓ THỂ CẢI BIẾN,assets/flow_v9_raw/V9_015.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Tonal tension resolve,Biến nghịch lý thành động lực của toàn phim.,V11 plan: assets/flow_v9_raw/V9_015.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Biến nghịch lý thành động lực của toàn phim.
S027,00:03:23.200,00:03:30.000,6.800000,Khoảng căng ấy mở ra vấn đề dân chủ hóa.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Tạo bản sắc liên tục và báo tiến độ lập luận. Asset: MG35_red_thread_bridge.mp4.,Macro tracking,85 mm,Lateral move along engraved surfaces,Amber slit light,"Chữ hậu kỳ như projection thật, không grid",CÔNG CỤ → THIẾT KẾ → GIÁ TRỊ → QUYỀN LỰC → THAM GIA → CẢI BIẾN,assets/v11_graphics/MG35_red_thread_bridge.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Theme motif sáu nốt; air movement; nhịp thở hình/nhạc 3.5s, không kéo chậm giọng",Tạo bản sắc liên tục và báo tiến độ lập luận.,V11 plan: assets/v11_graphics/MG35_red_thread_bridge.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; servo @ 195.800s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Tạo bản sắc liên tục và báo tiến độ lập luận.
S028,00:03:30.000,00:03:33.633,3.633333,"Theo Feenberg, hệ thống kỹ thuật tạo thành khung cho đời sống:",V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Mở rộng từ thiết bị cá nhân sang môi trường kỹ thuật. Asset: V9_008.mp4.,High wide establishing,"24 mm, elevated",Slow crane forward,"Blue-hour natural, practical warm",Kiến trúc dẫn luồng người; không skyline giả đặc thù,CHƯƠNG II · LỰA CHỌN Ở CẤP KHUNG,assets/flow_v9_raw/V9_008.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",City bed restrained; theme low,Mở rộng từ thiết bị cá nhân sang môi trường kỹ thuật.,V11 plan: assets/flow_v9_raw/V9_008.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Mở rộng từ thiết bị cá nhân sang môi trường kỹ thuật.
S029,00:03:33.633,00:03:42.166,8.533333,nó phân phối khả năng hành động và khiến một số lựa chọn dễ hơn lựa chọn khác. Phương tiện và mục đích vì thế không hoàn toàn tách rời.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Cho thấy thiết kế định hình lựa chọn mà không cần cưỡng bức trực tiếp. Asset: MG43_action_frame.mp4.,Wide geometric,35 mm,Locked then slow pan,Natural directional light,Vanishing points tách đôi khung,KHẢ NĂNG HÀNH ĐỘNG ĐƯỢC PHÂN PHỐI,assets/v11_graphics/MG43_action_frame.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Footsteps split stereo,Cho thấy thiết kế định hình lựa chọn mà không cần cưỡng bức trực tiếp.,V11 plan: assets/v11_graphics/MG43_action_frame.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Cho thấy thiết kế định hình lựa chọn mà không cần cưỡng bức trực tiếp.
S030,00:03:42.167,00:03:46.900,4.733333,"Một lối vào chỉ có cầu thang chẳng hạn, không chỉ “được dùng” theo nhiều mục đích;",V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Vật chất hóa mối liên kết means–ends. Asset: V9_014.mp4.,Mechanical macro,100 mm macro,Rack focus from means to ends,Amber edge on dark metal,Cơ cấu theo đường chéo; chữ hậu kỳ tối giản,PHƯƠNG TIỆN ↔ MỤC ĐÍCH,assets/flow_v9_raw/V9_014.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Precision gear foley,Vật chất hóa mối liên kết means–ends.,V11 plan: assets/flow_v9_raw/V9_014.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Vật chất hóa mối liên kết means–ends.
S031,00:03:46.900,00:03:52.000,5.100000,bản thân cấu trúc ấy đã làm cho việc tiếp cận của các nhóm người trở nên khác nhau.,V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Phân biệt lựa chọn khung với lựa chọn menu. Asset: V9_069.mp4.,Medium conceptual,50 mm,Slow arc while frame moves,"Focused amber key, teal response",Khung lớn chiếm 2/3; nút nhỏ ở foreground,META-CHOICE · LỰA CHỌN Ở CẤP KHUNG,assets/flow_v9_raw/V9_069.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Heavy but clean slide,Phân biệt lựa chọn khung với lựa chọn menu.,V11 plan: assets/flow_v9_raw/V9_069.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Phân biệt lựa chọn khung với lựa chọn menu.
S032,00:03:52.000,00:04:05.967,13.966667,"Feenberg gọi đây là meta-choice — lựa chọn ở cấp khung. Ta không chỉ hỏi dùng công cụ vào việc tốt hay xấu, mà hỏi môi trường kỹ thuật cho phép điều gì, ngăn điều gì và trao quyền cho ai.",V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Chuyển meta-choice thành ba câu hỏi có thể quan sát. Asset: MG10_meta_choice.mp4.,One-take lateral tableau,35 mm,Lateral dolly qua ba vùng,Light pools riêng nhưng cùng direction,Cho phép–ngăn–quyền điều khiển theo nhịp trái sang phải,CHO PHÉP · NGĂN CẢN · TRAO QUYỀN,assets/v11_graphics/MG10_meta_choice.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Door motor; muted lock; control click,Chuyển meta-choice thành ba câu hỏi có thể quan sát.,V11 plan: assets/v11_graphics/MG10_meta_choice.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Chuyển meta-choice thành ba câu hỏi có thể quan sát.
S033,00:04:05.967,00:04:17.734,11.766667,"Lý thuyết phê phán giữ khả năng kiểm soát của con người, nhưng phải đi tới cấp thiết kế và thiết chế quyết định. Điểm then chốt là: tiêu chí khoa học và kỹ thuật thường không chỉ định duy nhất một phương án.",V11 · FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Khẳng định phạm vi kiểm soát theo lý thuyết phê phán. Asset: mixkit_3257_1080.mp4, V9_029.mp4, mixkit_4809_1080.mp4.",Long-lens layered shot,85 mm,Rack focus three planes,Mixed daylight/tungsten balanced,Ba không gian xếp chiều sâu,SỬ DỤNG → THIẾT KẾ → THIẾT CHẾ,assets/v11_real/mixkit/mixkit_3257_1080.mp4 | assets/flow_v9_raw/V9_029.mp4 | assets/v11_real/mixkit/mixkit_4809_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Three soft tonal pings,Khẳng định phạm vi kiểm soát theo lý thuyết phê phán.,V11 plan: assets/v11_real/mixkit/mixkit_3257_1080.mp4 | assets/flow_v9_raw/V9_029.mp4 | assets/v11_real/mixkit/mixkit_4809_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Khẳng định phạm vi kiểm soát theo lý thuyết phê phán.
S034,00:04:17.733,00:04:26.400,8.666667,Có thể tồn tại nhiều giải pháp khả thi; cách định nghĩa vấn đề cũng có thể đổi. Đó là tính bất định tương đối của thiết kế.,V11 · ĐỒ HỌA GIẢI THÍCH,Chuỗi hình V11 khớp trực tiếp luận điểm: Minh họa bất định kỹ thuật mà không nói mọi phương án như nhau. Asset: MG11_relative_underdetermination.mp4.,Top-down experiment,50 mm,Slow overhead drift,"Lab-neutral realistic, no sci-fi","Ba phương án ngang hàng, cùng vạch pass hậu kỳ",NHIỀU PHƯƠNG ÁN KHẢ THI,assets/v11_graphics/MG11_relative_underdetermination.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Three clicks, no success fanfare",Minh họa bất định kỹ thuật mà không nói mọi phương án như nhau.,V11 plan: assets/v11_graphics/MG11_relative_underdetermination.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Minh họa bất định kỹ thuật mà không nói mọi phương án như nhau.
S035,00:04:26.400,00:04:37.200,10.800000,"Vật liệu, quy luật tự nhiên, chi phí và hạ tầng vẫn là ràng buộc. Nhưng trong phạm vi khả thi, lựa chọn xã hội có thể dẫn công nghệ theo những đường khác nhau.",V11 · FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Làm rõ vế thứ hai quan trọng của underdetermination. Asset: mixkit_29993_1080.mp4, V9_017.mp4, V9_007.mp4.",Tabletop macro,85 mm,Half-orbit synced to card flip,Warm paper + cool metal,"Problem card tâm, solutions fan outward",ĐỊNH NGHĨA VẤN ĐỀ → KHÔNG GIAN GIẢI PHÁP,assets/v11_real/mixkit/mixkit_29993_1080.mp4 | assets/flow_v9_raw/V9_017.mp4 | assets/flow_v9_raw/V9_007.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Paper flip + low tonal shift,Làm rõ vế thứ hai quan trọng của underdetermination.,V11 plan: assets/v11_real/mixkit/mixkit_29993_1080.mp4 | assets/flow_v9_raw/V9_017.mp4 | assets/flow_v9_raw/V9_007.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Làm rõ vế thứ hai quan trọng của underdetermination.
S036,00:04:37.200,00:04:39.233,2.033333,"Theo cách hiểu phi bản chất luận, hình thức đang",V11 · TÀI LIỆU NGUỒN,Chuỗi hình V11 khớp trực tiếp luận điểm: Cố định luận điểm bằng văn bản gốc. Asset: S036_source_card.png.,Document macro,Flat scan,Slow pan giữa hai đoạn,"Warm neutral, teal underline","Nguồn ở giữa, chú thích đọc được","BẤT ĐỊNH TƯƠNG ĐỐI · KHÔNG PHẢI TÙY Ý | Feenberg, 1992, PDF tr. 5; trang in 305",assets/v11_source_cards_r6/S036_source_card.png,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Pencil underline; music duck,Cố định luận điểm bằng văn bản gốc.,V11 plan: assets/v11_source_cards_r6/S036_source_card.png,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Cố định luận điểm bằng văn bản gốc.
S037,00:04:39.233,00:04:56.500,17.266667,"thống trị không phải bản chất bất biến của mọi công nghệ. Feenberg dùng từ “ambivalent” để nhấn mạnh công nghệ có thể đi theo những hướng phát triển khác nhau. Điều này không có nghĩa muốn thiết kế thế nào cũng được, càng không bảo đảm kết quả tốt.",V11 · ĐỒ HỌA GIẢI THÍCH + FOOTAGE QUAY THẬT + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Ngăn underdetermination bị hiểu thành tùy tiện. Asset: V9_017.mp4, MG29_ambivalent_paths.mp4, V9_007.mp4, mixkit_29991_1080.mp4.",Top-down 3D diagram,Orthographic,Slow push through rings,"Steel cool, branch amber/teal","Constraints là vòng, không phải xiềng xích; paths rõ",RÀNG BUỘC ≠ MỘT CON ĐƯỜNG DUY NHẤT,assets/flow_v9_raw/V9_017.mp4 | assets/v11_graphics/MG29_ambivalent_paths.mp4 | assets/flow_v9_raw/V9_007.mp4 | assets/v11_real/mixkit/mixkit_29991_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Low resonance per ring,Ngăn underdetermination bị hiểu thành tùy tiện.,V11 plan: assets/flow_v9_raw/V9_017.mp4 | assets/v11_graphics/MG29_ambivalent_paths.mp4 | assets/flow_v9_raw/V9_007.mp4 | assets/v11_real/mixkit/mixkit_29991_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Ngăn underdetermination bị hiểu thành tùy tiện.
S038,00:04:56.500,00:05:24.533,28.033333,"Nó chỉ bác bỏ ý tưởng rằng tương lai kỹ thuật đã được viết sẵn và xã hội chỉ còn cách thích nghi. Về phương pháp, thay vì nhìn thiết bị hoàn tất rồi hỏi nó tốt hay xấu, ta phải truy ngược quá trình hình thành: vấn đề đã được định nghĩa ra sao, phương án nào từng có thể lựa chọn, tiêu chí nào được ưu tiên, và phương án nào bị loại bỏ. Chính ở đó, cái xã hội và cái kỹ thuật gặp nhau.",V11 · ĐỒ HỌA GIẢI THÍCH + FOOTAGE QUAY THẬT,"Chuỗi hình V11 khớp trực tiếp luận điểm: Kết chương bằng khả năng lịch sử nhưng không lạc quan ngây thơ. Asset: MG32_design_genealogy.mp4, mixkit_50598_1080.mp4, mixkit_50600_1080.mp4, mixkit_785_1080.mp4.",Hero branching wide,35 mm,Crane up revealing branches,"Obsidian, amber; teal only one branch",Ba đường phát triển tách từ cùng lõi,PHI BẢN CHẤT LUẬN | AMBIVALENT · NHIỀU HƯỚNG PHÁT TRIỂN,assets/v11_graphics/MG32_design_genealogy.mp4 | assets/v11_real/mixkit/mixkit_50598_1080.mp4 | assets/v11_real/mixkit/mixkit_50600_1080.mp4 | assets/v11_real/mixkit/mixkit_785_1080.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Theme harmonic opens then suspends; nhịp thở hình/nhạc 4.0s, không kéo chậm giọng",Kết chương bằng khả năng lịch sử nhưng không lạc quan ngây thơ.,V11 plan: assets/v11_graphics/MG32_design_genealogy.mp4 | assets/v11_real/mixkit/mixkit_50598_1080.mp4 | assets/v11_real/mixkit/mixkit_50600_1080.mp4 | assets/v11_real/mixkit/mixkit_785_1080.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Kết chương bằng khả năng lịch sử nhưng không lạc quan ngây thơ.
S039,00:05:24.533,00:05:28.833,4.300000,Khái niệm tiếp theo là mã kỹ thuật — technical code.,V11 · ĐỒ HỌA GIẢI THÍCH,"Chuỗi hình V11 khớp trực tiếp luận điểm: Giới thiệu thuật ngữ bằng hình ảnh vật chất, không màn hình code. Asset: MG12_technical_code.mp4.",Extreme macro reveal,100 mm macro,Slow probe move dọc khe,"Raking amber, deep black detail retained",Khe sáng chạy chéo; vùng trái dành cho thuật ngữ,MÃ KỸ THUẬT · TECHNICAL CODE,assets/v11_graphics/MG12_technical_code.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Metal resonance; theme motif hai nốt,"Giới thiệu thuật ngữ bằng hình ảnh vật chất, không màn hình code.",V11 plan: assets/v11_graphics/MG12_technical_code.mp4,"VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; impact @ 309.633s, whoosh @ 309.633s","Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử","Giới thiệu thuật ngữ bằng hình ảnh vật chất, không màn hình code."
S040,00:05:28.833,00:05:31.533,2.700000,Mã kỹ thuật không phải mã nguồn hay mệnh lệnh bí mật.,V11 · MINH HỌA FLOW–VEO,Chuỗi hình V11 khớp trực tiếp luận điểm: Ngăn hai hiểu lầm phổ biến với khán giả CNTT. Asset: S040_technical_code_materials_1080p.mp4.,Rack-focus comparison,85 mm,"Focus pull, không camera shake",Cool screen glow tắt; warm workshop bật,Code chỉ là texture mờ không đọc được; vật thể thật sắc nét,KHÔNG PHẢI MÃ NGUỒN · KHÔNG PHẢI ÂM MƯU BÍ MẬT,assets/flow_selected/S040_technical_code_materials_1080p.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động","Keyboard texture tắt, metal foley vào",Ngăn hai hiểu lầm phổ biến với khán giả CNTT.,V11 plan: assets/flow_selected/S040_technical_code_materials_1080p.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; không cue SFX rời,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Ngăn hai hiểu lầm phổ biến với khán giả CNTT.
S041,00:05:31.533,00:05:45.033,13.500000,"Feenberg dùng khái niệm này để chỉ cấu trúc trung giới qua đó một chân trời văn hóa–xã hội được hiện thực hóa ở cấp thiết kế. Nói dễ hiểu hơn: điều một xã hội coi là bình thường, cần thiết hoặc chấp nhận được",V11 · ĐỒ HỌA GIẢI THÍCH + MINH HỌA FLOW–VEO,"Chuỗi hình V11 khớp trực tiếp luận điểm: Diễn giải đúng vai trò trung giới của technical code. Asset: MG12_technical_code.mp4, S040_technical_code_materials_1080p.mp4, S040_constraints_alt_1080p.mp4.",Sectional 3D view,50 mm isometric,Slow push through layers,"Amber input, material-neutral outputs",Trái là giá trị; giữa là code; phải là cấu trúc,CHÂN TRỜI XÃ HỘI → MÃ KỸ THUẬT → THIẾT KẾ,assets/v11_graphics/MG12_technical_code.mp4 | assets/flow_selected/S040_technical_code_materials_1080p.mp4 | assets/flow_v8_namthanguit/S040_constraints_alt_1080p.mp4,V11_PLAN_LOCKED · MOTION_AND_SEMANTIC_QA_REQUIRED,"Dissolve 0,25 giây có kiểm soát; không loop/reverse hành động",Five restrained clicks; low bed,Diễn giải đúng vai trò trung giới của technical code.,V11 plan: assets/v11_graphics/MG12_technical_code.mp4 | assets/flow_selected/S040_technical_code_materials_1080p.mp4 | assets/flow_v8_namthanguit/S040_constraints_alt_1080p.mp4,VO ChatGPT + nhạc duck theo waveform; ambience tổng hợp; servo @ 316.633s,"Nguồn thật giữ chuyển động gốc; AI là minh họa, không phải bằng chứng lịch sử",Diễn giải đúng vai trò trung giới của technical code.
